NR_PEDIDO_PARTICIPA;DT_PESQUISA_SATISFACAO;DS_QUESTAO;DS_ALTERNATIVA
LAI-003292/2022;26/01/2023 13:05;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000977/2023;27/01/2023 17:43;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002267/2022;28/01/2023 02:29;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003212/2022;30/01/2023 10:49;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000359/2023;30/01/2023 14:24;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003368/2022;30/01/2023 15:39;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000807/2023;30/01/2023 20:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001240/2023;31/01/2023 09:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001067/2023;31/01/2023 17:01;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001183/2023;01/02/2023 09:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003192/2022;01/02/2023 11:30;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000592/2023;01/02/2023 12:21;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000047/2023;01/02/2023 14:43;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001034/2023;01/02/2023 17:07;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001138/2023;01/02/2023 20:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001250/2023;02/02/2023 10:46;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000082/2023;02/02/2023 10:49;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000984/2023;02/02/2023 17:43;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001063/2023;02/02/2023 23:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001438/2023;03/02/2023 14:31;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001442/2023;03/02/2023 20:05;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001440/2023;03/02/2023 20:06;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000766/2022;06/02/2023 06:40;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001073/2023;06/02/2023 20:36;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000160/2023;06/02/2023 22:39;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001097/2023;07/02/2023 13:06;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001499/2023;07/02/2023 15:31;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000658/2023;07/02/2023 20:48;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001529/2023;08/02/2023 16:02;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001531/2023;08/02/2023 17:11;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001392/2023;08/02/2023 20:02;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000565/2023;09/02/2023 08:57;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001741/2023;10/02/2023 08:53;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001130/2023;10/02/2023 16:09;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000842/2023;11/02/2023 12:00;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001826/2023;13/02/2023 11:52;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001191/2023;13/02/2023 12:43;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001473/2023;13/02/2023 13:45;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001980/2023;13/02/2023 15:14;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002053/2023;13/02/2023 15:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001944/2023;14/02/2023 04:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000792/2023;14/02/2023 08:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001846/2023;14/02/2023 09:07;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000298/2023;14/02/2023 10:28;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001806/2023;14/02/2023 11:06;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002011/2023;14/02/2023 12:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001377/2023;14/02/2023 18:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001995/2023;14/02/2023 21:36;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001834/2023;15/02/2023 10:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000877/2023;15/02/2023 11:27;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000458/2023;15/02/2023 15:20;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001257/2023;15/02/2023 18:48;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002193/2023;15/02/2023 19:46;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001695/2023;16/02/2023 09:24;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001863/2023;17/02/2023 09:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001717/2023;17/02/2023 11:26;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002203/2023;17/02/2023 12:15;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001190/2023;17/02/2023 18:02;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000972/2023;18/02/2023 17:47;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001459/2023;21/02/2023 08:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000811/2023;22/02/2023 14:36;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002066/2023;22/02/2023 22:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002428/2023;23/02/2023 09:09;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002268/2023;23/02/2023 15:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001519/2023;24/02/2023 00:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002240/2023;24/02/2023 10:35;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000443/2023;24/02/2023 15:48;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001441/2023;24/02/2023 17:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002350/2023;24/02/2023 20:58;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001205/2023;27/02/2023 09:21;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002508/2023;27/02/2023 11:31;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001586/2023;27/02/2023 16:02;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001571/2023;27/02/2023 17:34;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002338/2023;27/02/2023 18:19;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002144/2023;28/02/2023 10:11;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002115/2023;28/02/2023 11:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002140/2023;28/02/2023 14:57;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002219/2023;28/02/2023 17:06;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002381/2023;28/02/2023 19:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002363/2023;01/03/2023 01:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002797/2023;01/03/2023 15:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001983/2023;01/03/2023 17:46;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002411/2023;02/03/2023 17:37;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001853/2023;02/03/2023 20:14;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001855/2023;02/03/2023 20:15;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000814/2023;03/03/2023 21:46;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002105/2023;04/03/2023 15:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002371/2023;06/03/2023 08:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003232/2023;07/03/2023 10:45;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001035/2023;08/03/2023 12:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001381/2023;08/03/2023 12:51;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001384/2023;08/03/2023 12:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003362/2023;08/03/2023 12:55;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002637/2023;08/03/2023 16:03;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003220/2023;09/03/2023 08:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001988/2023;09/03/2023 08:51;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002185/2023;09/03/2023 17:27;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003602/2023;10/03/2023 12:27;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003239/2023;10/03/2023 14:39;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002692/2023;12/03/2023 15:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002302/2023;13/03/2023 18:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003716/2023;14/03/2023 09:24;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003217/2023;14/03/2023 09:43;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002221/2023;14/03/2023 12:45;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003509/2023;14/03/2023 12:51;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003760/2023;14/03/2023 20:41;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003812/2023;15/03/2023 08:47;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001805/2023;15/03/2023 09:21;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002439/2023;15/03/2023 10:31;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002866/2023;15/03/2023 10:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003532/2023;15/03/2023 10:55;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003544/2023;15/03/2023 10:56;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003439/2023;15/03/2023 11:11;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003250/2023;15/03/2023 17:03;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003815/2023;15/03/2023 19:35;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001919/2023;16/03/2023 10:01;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001871/2023;16/03/2023 15:06;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002892/2023;16/03/2023 19:25;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002619/2023;17/03/2023 07:36;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001139/2023;17/03/2023 09:48;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004017/2023;17/03/2023 13:31;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003802/2023;17/03/2023 13:48;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003375/2023;18/03/2023 14:11;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004136/2023;20/03/2023 10:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004020/2023;20/03/2023 12:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003097/2023;20/03/2023 14:05;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003927/2023;20/03/2023 17:57;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003432/2023;20/03/2023 22:24;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002366/2023;20/03/2023 23:29;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003911/2023;21/03/2023 13:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004162/2023;21/03/2023 14:47;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004054/2023;21/03/2023 21:28;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002740/2023;22/03/2023 08:30;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003739/2023;22/03/2023 12:00;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002196/2023;22/03/2023 21:53;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002809/2023;22/03/2023 23:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001252/2023;23/03/2023 11:59;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001254/2023;23/03/2023 12:31;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001258/2023;23/03/2023 12:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004323/2023;23/03/2023 13:05;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002558/2023;23/03/2023 14:03;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004174/2023;23/03/2023 19:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003551/2023;23/03/2023 20:25;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003266/2023;24/03/2023 00:19;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003533/2023;24/03/2023 16:24;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002441/2023;24/03/2023 16:49;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001902/2023;24/03/2023 18:12;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003910/2023;27/03/2023 12:03;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002904/2023;27/03/2023 15:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004712/2023;28/03/2023 00:19;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004839/2023;28/03/2023 11:56;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004850/2023;28/03/2023 13:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003523/2023;28/03/2023 14:11;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004733/2023;28/03/2023 16:37;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002653/2023;29/03/2023 10:24;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004889/2023;29/03/2023 14:35;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003747/2023;29/03/2023 19:14;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002654/2023;30/03/2023 10:21;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004205/2023;30/03/2023 19:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005042/2023;31/03/2023 01:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005145/2023;31/03/2023 17:09;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003933/2023;31/03/2023 18:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004710/2023;02/04/2023 16:56;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004499/2023;03/04/2023 08:26;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002746/2023;03/04/2023 08:45;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003241/2023;03/04/2023 09:15;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005155/2023;03/04/2023 13:04;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004121/2023;04/04/2023 01:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002847/2023;04/04/2023 12:09;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005322/2023;04/04/2023 12:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001290/2023;04/04/2023 21:47;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005399/2023;05/04/2023 11:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005422/2023;06/04/2023 12:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003296/2023;06/04/2023 15:20;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000954/2023;09/04/2023 18:14;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004157/2023;10/04/2023 09:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-004540/2023;10/04/2023 09:59;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003839/2023;10/04/2023 10:18;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005294/2023;10/04/2023 17:04;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003318/2023;10/04/2023 20:20;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005367/2023;10/04/2023 20:57;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005526/2023;11/04/2023 10:18;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005494/2023;11/04/2023 11:00;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005324/2023;11/04/2023 11:42;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005527/2023;11/04/2023 13:12;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005525/2023;11/04/2023 13:18;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005258/2023;11/04/2023 15:04;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-005477/2023;11/04/2023 18:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001705/2022;12/04/2023 06:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003813/2023;12/04/2023 13:25;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
