NR_PEDIDO_PARTICIPA;DT_RECURSO;ID_PEDIDO;DS_JUSTIFICATIVA_RECURSO;DS_INSTANCIA;DT_INICIO_PRAZO_RECURSO;DT_TERMINO_PRAZO_RECURSO;RESPOSTAS.DT_RESPOSTA;RESPOSTAS.DS_TIPO_RESPOSTA;RESPOSTAS.DS_CLASSIFICACAO_RESPOSTA;RESPOSTAS.DS_TIPO_CLASSIFICACAO_RESPOSTA
LAI-006968/2023;12/05/2023 11:35;11363;Informação incompleta;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;12/05/2023 14:52;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006975/2023;03/05/2023 09:54;11370;Informação incompleta;Primeira Instância;04/05/2023 00:00;08/05/2023 23:59;03/05/2023 11:38;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007004/2023;11/05/2023 21:23;11399;Informação incompleta;Primeira Instância;12/05/2023 00:00;16/05/2023 23:59;16/05/2023 14:39;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007059/2023;23/05/2023 15:36;11454;Informação incompleta;Primeira Instância;24/05/2023 00:00;29/05/2023 23:59;29/05/2023 09:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007176/2023;05/05/2023 16:40;11571;Informação incompleta;Primeira Instância;08/05/2023 00:00;12/05/2023 23:59;12/05/2023 18:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007329/2023;12/05/2023 16:40;11724;Informação incompleta;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;19/05/2023 15:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007330/2023;12/05/2023 16:40;11725;Informação incompleta;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;19/05/2023 17:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007337/2023;10/05/2023 10:50;11732;Informação incompleta;Primeira Instância;11/05/2023 00:00;15/05/2023 23:59;10/05/2023 14:22;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007403/2023;10/05/2023 10:08;11798;Informação incompleta;Primeira Instância;11/05/2023 00:00;15/05/2023 23:59;15/05/2023 10:49;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007568/2023;29/05/2023 20:24;11963;Informação incompleta;Primeira Instância;30/05/2023 00:00;05/06/2023 23:59;05/06/2023 17:56;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007658/2023;11/05/2023 12:48;12053;Informação incompleta;Primeira Instância;12/05/2023 00:00;16/05/2023 23:59;11/05/2023 13:08;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007753/2023;26/05/2023 15:42;12148;Informação incompleta;Primeira Instância;29/05/2023 00:00;02/06/2023 23:59;02/06/2023 10:23;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007774/2023;22/05/2023 09:23;12169;Informação incompleta;Primeira Instância;23/05/2023 00:00;29/05/2023 23:59;26/05/2023 07:29;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007833/2023;23/05/2023 11:58;12228;Informação incompleta;Primeira Instância;24/05/2023 00:00;29/05/2023 23:59;29/05/2023 09:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007991/2023;01/06/2023 16:10;12386;Informação incompleta;Primeira Instância;02/06/2023 00:00;06/06/2023 23:59;06/06/2023 14:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008027/2023;22/05/2023 09:17;12422;Informação incompleta;Primeira Instância;23/05/2023 00:00;29/05/2023 23:59;23/05/2023 17:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008035/2023;17/06/2023 01:33;12430;Informação incompleta;Primeira Instância;19/06/2023 00:00;23/06/2023 23:59;23/06/2023 16:04;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008067/2023;07/06/2023 12:39;12462;Informação incompleta;Primeira Instância;12/06/2023 00:00;16/06/2023 23:59;12/06/2023 11:54;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008154/2023;07/06/2023 01:49;12549;Informação incompleta;Primeira Instância;12/06/2023 00:00;16/06/2023 23:59;16/06/2023 21:35;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008198/2023;20/06/2023 13:06;12593;Informação incompleta;Primeira Instância;21/06/2023 00:00;26/06/2023 23:59;23/06/2023 15:16;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008238/2023;26/05/2023 14:53;12633;Informação incompleta;Primeira Instância;29/05/2023 00:00;02/06/2023 23:59;31/05/2023 16:52;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008276/2023;05/06/2023 12:21;12671;Informação incompleta;Primeira Instância;06/06/2023 00:00;12/06/2023 23:59;12/06/2023 15:51;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008421/2023;02/06/2023 11:28;12816;Informação incompleta;Primeira Instância;05/06/2023 00:00;09/06/2023 23:59;07/06/2023 09:27;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008456/2023;19/06/2023 15:35;12851;Informação incompleta;Primeira Instância;20/06/2023 00:00;26/06/2023 23:59;26/06/2023 23:58;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008475/2023;24/05/2023 17:19;12870;Informação incompleta;Primeira Instância;25/05/2023 00:00;29/05/2023 23:59;28/05/2023 21:42;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008483/2023;29/05/2023 14:51;12878;Informação incompleta;Primeira Instância;30/05/2023 00:00;05/06/2023 23:59;31/05/2023 09:25;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008493/2023;13/06/2023 11:16;12888;Informação incompleta;Primeira Instância;14/06/2023 00:00;19/06/2023 23:59;13/06/2023 15:56;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008497/2023;25/05/2023 12:45;12892;Informação incompleta;Primeira Instância;26/05/2023 00:00;30/05/2023 23:59;25/05/2023 14:41;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008595/2023;06/06/2023 11:48;12990;Informação incompleta;Primeira Instância;07/06/2023 00:00;12/06/2023 23:59;12/06/2023 17:14;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008894/2023;05/06/2023 12:32;13289;Informação incompleta;Primeira Instância;06/06/2023 00:00;12/06/2023 23:59;12/06/2023 16:27;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008958/2023;01/06/2023 23:20;13353;Informação incompleta;Primeira Instância;02/06/2023 00:00;06/06/2023 23:59;02/06/2023 16:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009029/2023;15/06/2023 21:55;13424;Informação incompleta;Primeira Instância;16/06/2023 00:00;20/06/2023 23:59;20/06/2023 14:17;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009031/2023;15/06/2023 22:03;13426;Informação incompleta;Primeira Instância;16/06/2023 00:00;20/06/2023 23:59;20/06/2023 17:48;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009110/2023;07/06/2023 14:28;13505;Informação incompleta;Primeira Instância;12/06/2023 00:00;16/06/2023 23:59;13/06/2023 16:51;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009130/2023;05/06/2023 07:22;13525;Informação incompleta;Primeira Instância;06/06/2023 00:00;12/06/2023 23:59;06/06/2023 18:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009150/2023;10/06/2023 15:42;13545;Informação incompleta;Primeira Instância;12/06/2023 00:00;16/06/2023 23:59;16/06/2023 23:17;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009543/2023;04/07/2023 09:36;13938;Informação incompleta;Primeira Instância;05/07/2023 00:00;10/07/2023 23:59;10/07/2023 15:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
